02/08/2016 11:12:17
1
 	Напряжение Uab	Напряжение Ubc	Udc1_rms	Ic12_pwm	Ic34_pwm	Напряжение Uca	Ia3+Ia4	Ib3+Ib4	Ic3+Ic4	Ia1+Ia2	Ib1+Ib2	Ic1+Ic2	Q12rms	Q34rms	
 	-8388480	-16711936	-8355585	-65536	-65536	-65536	-256	-16711936	-65536	-256	-16711936	-65536	-8388608	-16777088	
 	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	
 	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	1,00000	
 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	-947,9	668,8	1016,2	537	571	256,4	1284	-1795	490	1226	-1754	516	-276	-277	
1	-960,1	647,1	1016,2	537	571	275,4	1400	-1895	480	1260	-1934	660	-276	-277	
2	-950,6	634,8	1016,2	537	571	290,3	1434	-1819	370	1231	-1930	687	-276	-277	
3	-965,5	594,2	1016,2	537	571	324,2	1467	-1754	271	1273	-1854	572	-276	-277	
4	-942,5	576,5	1016,2	537	571	344,6	1357	-1830	465	1323	-1789	446	-276	-277	
5	-945,2	558,9	1016,2	537	571	364,9	1403	-1992	575	1449	-1848	388	-276	-277	
6	-945,2	531,8	1016,2	537	571	389,3	1350	-2006	643	1499	-1758	243	-276	-277	
7	-912,6	530,4	1016,2	537	571	404,3	1406	-1909	493	1509	-1714	192	-276	-277	
8	-923,5	468,0	1020,0	444	455	428,7	1459	-1823	343	1408	-1784	369	-276	-277	
9	-939,8	442,2	1020,0	444	455	459,9	1588	-1859	256	1438	-1911	468	-276	-277	
10	-931,6	419,2	1020,0	444	455	482,9	1646	-1748	87	1359	-1950	579	-276	-277	
11	-935,7	378,5	1020,0	444	455	518,2	1630	-1715	72	1429	-1833	399	-276	-277	
12	-915,3	356,8	1020,0	444	455	530,4	1538	-1756	207	1502	-1718	202	-276	-277	
13	-912,6	345,9	1020,0	444	455	550,7	1596	-1864	261	1643	-1719	68	-276	-277	
14	-931,6	302,5	1020,0	444	455	576,5	1511	-1892	375	1718	-1589	-139	-276	-277	
15	-880,1	329,7	1020,0	444	455	575,2	1566	-1781	207	1660	-1593	-78	-276	-277	
16	-885,5	279,5	1019,9	192	182	598,2	1645	-1654	-4	1583	-1624	38	-276	-277	
17	-911,3	257,8	1019,9	192	182	619,9	1794	-1651	-157	1628	-1711	83	-276	-277	
18	-893,6	255,1	1019,9	192	182	626,7	1856	-1519	-348	1546	-1734	187	-276	-277	
19	-867,9	265,9	1019,9	192	182	662,0	1785	-1530	-264	1575	-1647	68	-276	-277	
20	-900,4	208,9	1019,9	192	182	660,6	1716	-1541	-182	1666	-1502	-173	-276	-277	
21	-903,1	210,3	1019,9	192	182	663,3	1793	-1624	-170	1828	-1485	-342	-276	-277	
22	-899,1	194,0	1019,9	192	182	679,6	1717	-1633	-88	1868	-1380	-490	-276	-277	
23	-899,1	177,7	1019,9	192	182	653,8	1693	-1593	-111	1794	-1392	-404	-276	-277	
24	-876,0	161,5	1026,5	-174	-209	682,3	1785	-1442	-355	1727	-1404	-321	-276	-277	
25	-874,7	150,6	1026,5	-174	-209	686,4	1954	-1437	-526	1795	-1476	-312	-276	-277	
26	-853,0	133,0	1026,5	-174	-209	698,6	1946	-1351	-604	1715	-1475	-237	-276	-277	
27	-838,0	105,8	1026,5	-174	-209	720,3	1865	-1341	-533	1652	-1447	-214	-276	-277	
28	-801,4	93,6	1026,5	-174	-209	706,7	1802	-1324	-483	1744	-1275	-476	-276	-277	
29	-772,9	95,0	1026,5	-174	-209	700,0	1898	-1385	-514	1915	-1254	-659	-276	-277	
30	-783,8	38,0	1026,5	-174	-209	723,0	1804	-1355	-459	1863	-1183	-683	-276	-277	
31	-721,4	71,9	1026,5	-174	-209	702,7	1711	-1324	-407	1778	-1146	-636	-276	-277	
32	-752,6	-2,7	1029,8	-476	-520	725,7	1776	-1151	-638	1708	-1115	-593	-276	-277	
33	-739,0	-13,5	1029,8	-476	-520	739,3	1951	-1147	-812	1801	-1159	-638	-276	-277	
34	-740,4	-36,6	1029,8	-476	-520	750,1	1862	-1081	-790	1710	-1109	-602	-276	-277	
35	-707,8	-25,7	1029,8	-476	-520	767,8	1773	-1025	-756	1619	-1058	-574	-276	-277	
36	-736,3	-77,3	1029,8	-476	-520	770,5	1716	-981	-748	1650	-910	-748	-276	-277	
37	-733,6	-81,3	1029,8	-476	-520	769,1	1856	-1026	-833	1809	-941	-869	-276	-277	
38	-730,9	-90,8	1029,8	-476	-520	797,6	1761	-966	-804	1717	-876	-850	-276	-277	
39	-697,0	-59,6	1029,8	-476	-520	797,6	1678	-905	-783	1641	-815	-835	-276	-277	
40	-725,5	-103,0	1034,4	-744	-803	813,9	1685	-803	-898	1608	-771	-842	-276	-277	
